title,author,keywords,abstarct,url,vol,year,journal
The Effect of Risk Information on Housing Prices in Taiwan,"Tzu-Chang Forrest Cheng, Tai-Chi Wang, Jian-Da Zhu","Information disclosure, Risk perception, Housing market, Soil liquefaction risk","This research uses a difference-in-differences framework to investigate the effect of new risk information on housing prices in Taiwan. The results show that this information changed individuals' subjective risk perceptions, so that housing prices in the highest-risk areas dropped, but only temporarily in the first three months after the disclosure. This information effect happened for those apartments lacking certain earthquake-resistant characteristics. In addition, we investigate the dynamics of the effect around the boundary. We demonstrate that individuals were able to form continuous risk beliefs based on discrete information, and the housing prices dropped more sharply for apartments located closer to the center of the highest-risk area. Furthermore, individuals had updated their risk beliefs differently for apartments with different levels of earthquake resistance. For apartments with the least earthquake resistance, the immediate price drops were larger, and the housing prices returned to normal more slowly, relative to the safer apartments. Most notably, the effect did not disappear at all for those apartments with the least earthquake resistance that were also located in the center of the highest-risk area.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202203-202204010021-202204010021-41-73,50.1,2022,Academia Economic Papers
HOW SUPPLY-SIDE FACTORS AFFECT COLLEGE DROPOUTS: THE EFFECTS OF COLLEGIATE RESOURCES AND ADMISSION QUOTAS ALLOCATION ON DROPOUTS,Mateus Lee,"Student-faculty ratios, Collegiate resources, Return ratios, Admission quota, Dismissal policy, College dropouts","This study investigates how supply-side factors - collegiate resources and admission quotas allocation - affect college dropouts. Estimation is based on department-level institutional and admission data from 68 Taiwanese public and private colleges from academic year 2016 to 2019. Controlling for school and department fixed effects, inappropriate multi-channel admission quotas allocation reduces the minimum admission score on the Advanced Subjects Test (AST) and leads to the recruitment of students with unexpectedly low AST scores. It also increases both dropouts based on incompatible interest at public colleges and dropouts based on academic performance at private colleges. Moreover, lower collegiate resources and higher final AST admission quotas lead to larger dropouts based on incompatible interest at private colleges. Policy implications regarding the admission quotas allocation are suggested.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202203-202204010021-202204010021-75-115,50.1,2022,Academia Economic Papers
OUTWARD FOREIGN DIRECT INVESTMENT AND LABOR SHARES: EVIDENCE FROM TAIWANESE MANUFACTURING FIRMS,"Chih-Hai Yang, Yi-Tung Liu, Meng-Wen Tsou","Labor share, Outward foreign direct investment, Technological progress","Using Taiwanese data on manufacturing firms during 2002-2018, this study examines the impact of outward foreign direct investment (OFDI) on labor shares. Controlling for firm fixed effects, the labor share is lower for a firm undertaking OFDI versus firms that do not. This effect is, however, driven mainly by firms’ investing in China rather than in other countries. In addition, firms with more exports, higher export intensity, and higher productivity tend to have lower labor shares. Considering the potential endogeneity of OFDI, we adopt propensity score matching (PSM) for multiple treatments PSM. Results show that, relative to firms that did not engage in OFDI, firms that invest in China and other areas have the lowest labor shares (a reduction of 37%-39%), followed by firms investing only in China (a reduction of 20%-22%), and firms investing in other areas only have little differences in labor shares.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202203-202204010021-202204010021-117-154,50.1,2022,Academia Economic Papers
COVID-19 and Transboundary Air Pollution: Did Coronavirus Improve Air Quality in Taiwan?,"Yun-Peng Lu, Jui-Chung Yang","Air quality in Taiwan, COVID-19, PM_(2.5), Transboundary air pollution, PM_(2.5)","We study Taiwan's air quality after the outbreak of coronavirus disease 2019 (COVID-19) pandemic in January 2020. We find a significant reduction, about 14.6%, in the daily PM_(2.5) concentration after the COVID-19 outbreak. Our paper controls for both year effects and time-of-year effects by comparing the average change over time in the PM_(2.5) levels before and after the outbreak of COVID-19 in the period from October 2019 to April 2020, to the average change over time from October to April in 2016/17, 2017/18, and 2018/19, and is robust to the policies and seasonal patterns in each year. Among the 14.6% decrease in PM_(2.5) concentration, we find that about 12.9 percentage points are related to the air quality improvement in China, Japan, and Korea and the reduction of transboundary air pollution.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202112-202201180015-202201180015-495-526,49.4,2021,Academia Economic Papers
THE EFFECTS OF MONETARY POLICY OVER BUSINESS CYCLES IN TAIWAN,Yu-Hsiang Hsiao,"Monetary policy, Business cycle, Impulse response","This paper investigates the asymmetric impact of monetary policy over business cycles in Taiwan. Employing Romer and Romer's (2004) identification approach, we construct a new measure of monetary policy shocks for Taiwan's economy. Estimated by the new measure, the finding suggests that the impact of monetary policy is larger and the transmission speed is faster than with a short-term restriction approach. Moreover, the impact of monetary policy on output, employment, and real bank loans are less effective in recessions than in expansions. Furthermore, private consumption and investment are less responsive to monetary policy in recessions than in expansions, and government consumption has no significant response in either state. The paper, however, finds no asymmetric impact on the consumer price index over business cycles.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202112-202201180015-202201180015-527-568,49.4,2021,Academia Economic Papers
THE INFORMATION CONTENT OF THE PRE-OPENING LIMIT ORDER BOOK: AN EMPIRICAL STUDY OF TRANSPARENCY REFORM AT THE OPENING CALL,Yi-Heng Tseng,"Taiwan stock exchange, Limit order book, Pre-opening quotes and depths, Individual investor, Institutional investor","The adoption of the pre-open disclosure mechanism in June 29, 2015 has made the limit order book (LOB) highly transparent during the opening call. Our study finds that, after this reform, though the close-to-open return volatility becomes higher, the weighted price contribution (WPC) at the opening call still increases and the opening prices are less manipulated in large cap stocks. Although the price discovery efficiency declines most of the time during the opening call, the poor quality of pre-opening quotes and depths disclosed in the LOB has greatly improved since 8:55. Moreover, the reference prices and best 'unexecuted' quotes along with depths are highly related to the changes in equilibrium prices. For large cap stocks, the information content in the 4^(th) and 5^(th) best quotes emerges in the last five minutes of the opening call. This transparency reform also raises the probability of individual and institutional investors submitting aggressive orders. The sensitivity of order aggressiveness to the bid-ask spread variation is significantly different during the half hour before and after the market opening, implying that both types of investors have less confidence in the pre-opening quotes and depths. Our findings pass robustness checks precluding the scenario of market rise or fall.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202112-202201180015-202201180015-569-607,49.4,2021,Academia Economic Papers
"INDUSTRIAL UPGRADING, EDUCATION EXPANSION, AND EDUCATIONAL EXPENDITURE ON CHILDREN AMONG TAIWANESE HOUSEHOLDS","Chia-Zung Chen, Hao-Chung Li","NTA, Educational expenditure, Societal change, National transfer account, NTA, Industrial upgrading, Education expansion","This paper uses Taiwan's Survey of Family Income and Expenditure data between 1993 and 2018 to investigate how societal changes and family characteristics affected educational expenditure on children. As the Survey was conducted at the household level, we used the National Transfer Account (NTA) method to decompose household educational expenditures into personal expenditures. Our results suggest that Taiwanese families increased their educational spending for children in junior high school or below. In contrast, educational spending for children in senior high school first increased and then decreased. There was a significant drop since 2011. We found that parents' educational attainment and income positively correlate with academic expenditures on children, but parents' age and the number of household members have opposite effects. We also found that household's educational spending responded to the varying admission rates of high schools and universities. Families also increased their educational expenditures when returns to higher education increase. This paper further compares the educational expenditure decisions among households with different income levels. Our results show that while households of all income levels value educational investment in children, families of varying income levels have divergent trends in their educational expenditures. They also based their expenditure decisions on peculiar factors.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202112-202201180015-202201180015-609-649,49.4,2021,Academia Economic Papers
ANALYSIS OF THREE-GENERATION INCOME MOBILITY IN TAIWAN,"Sheng-Jang Sheu, Ching-Hui Li, Hui-Chu Hsieh","Three-generation mobility, Intergenerational income mobility, Intergenerational income elasticity, PSFD","Using data from the 1999-2016 Panel Study of Family Dynamics (PSFD) and the model proposed by Solon (2014), this paper analyzes three-generation income mobility in Taiwan. The intergenerational income elasticity is estimated for both paternal and maternal families, where the age of children is restricted to the period when their observed income is close to their permanent income. The estimated father-child income elasticity is 0.249-0.332. Controlling for the income of the father and paternal grandparents, the father-child income elasticity falls to 0.222-0.310. The grandparents-child income elasticity is 0.249-0.561, and the mother-child income elasticity is 0.208-0.269. Controlling for the income of the mother and maternal grandparents, the mother-child income elasticity rises to 0.235-0.276. The maternal grandparents-child income elasticity is, however, statistically insignificant. Our estimated results indicate that intergenerational income correlations are mostly observed on the paternal side in the long run. This implies that the patriarchal family structure plays an important role in intergenerational income mobility in Taiwan.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202112-202201180015-202201180015-651-690,49.4,2021,Academia Economic Papers
Insurance-Linked Lotto,"Tzu-Ying Chen, Rachel J. Huang, Larry Y. Tzeng","Rank dependent preferences, Lotto, Individual welfare, Demand for insurance, Regulation","Recent empirical and experimental research has well documented that an individual's willingness to purchase insurance is much lower than the level predicted by the traditional expected utility model. To increase the demand for insurance, this paper proposes a new tool of government intervention: an insurance-linked lotto. The proposed lotto is independent of the occurrence of the insurable risk, but the probability of winning the prize or the prize itself is positively correlated with the insurance coverage. We show that when an individual's preferences are characterized by rank dependent expected utility, the insurance-linked lotto could enhance the equilibrium demand for insurance and improve individual welfare as well. The above findings could be sustained in both cases where the government's objective is to maximize the rank dependent expected utility of the individual and the government evaluates wellbeing by adopting the expected utility framework.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202109-202110180014-202110180014-321-362,49.3,2021,Academia Economic Papers
DIRECTORS' AND OFFICERS' LIABILITY INSURANCE AND BOARD BUSYNESS,"Cheng-Jung Chiang, Yuan Chang","Directors' and officers' liability insurance, Board busyness","This study examines how providing directors with directors' and officers' liability insurance (DOLI) affects the busyness of a firm's board of directors, using data from 1,532 non-financial firms listed in the Taiwan Stock Exchange (TWSE) and the Taipei Exchange (TPEx) from 2008 to 2018. Providing DOLI may help recruitment and retention of directors and management and strengthen financial protection of firms and individuals when facing litigation. Providing DOLI, however, might lead to moral hazard problems and opportunistic behaviors, such as causing directors to neglect their duties and hold more positions in other institutions, resulting in a higher degree of board busyness. Empirically, after controlling for the quality of the directors and governance of the firms, a significant positive relationship exists between DOLI and board busyness, confirming the moral hazard problem.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202109-202110180014-202110180014-363-409,49.3,2021,Academia Economic Papers
PROPERTY TAXATION IN TAIWAN: AN EMPIRICAL ANALYSIS OF EQUALITY WITH ADMINISTRATIVE TAX DATA,"Chien-Hao Fu, Chung-Hsin Tseng","Assessment ratio, Property tax, Vertical equality, Administrative tax data","We use income tax and wealth data from Taiwan's Ministry of Finance, from 2004 to 2017, to investigate the incidence of property taxation. Specifically, we focus on the relationships among a property's market value, its assessed value, and the owner's income and wealth. Our results show that Taiwan's property tax system consistently undervalues real estate. The gap between assessed value and market value is especially prominent among high-value properties. As a result, while the assessment-sales ratio is weakly progressive regarding income, it is severely regressive regarding wealth. In addition, since this regressiveness is not evident for financial and other non-property assets, the property tax system provides incentives for people to concentrate their assets on real estate. Closing the gap between property's assessed and market values would enhance the equity of the tax system and reduce resource allocation distortions.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202109-202110180014-202110180014-411-444,49.3,2021,Academia Economic Papers
OPTIMAL PRICE TARGET ZONES UNDER THE NEW KEYNESIAN MODEL: DISTURBANCES IN COMMODITY DEMAND,"Peir-Shyan Liaw, Chine-Hsing Wu","Optimal price target zone, Open economy Lucas's aggregate supply function of New Keynesian School, Brownian motion","This paper presents an open economy macroeconomic model based generally on those developed by Frenkel and Rodriguez (1982), Sutherland (1995) and Lai and Chang (2001). Specifically, this paper uses the geometric approaches developed by Lai and Chang (2001), Chen (2004), Lai et al. (2008, 2011) and Liaw (2018) to determine the optimal price band when the monetary authority minimizes social welfare loss. Under this approach, if the economy faces demand shocks in the commodity and foreign exchange (foreign interests rate) markets, this paper concludes that the monetary authority must adopt a fixed domestic price level strategy (the optimal price band is zero). This is independent of whether the monetary authority cares about fluctuations in the domestic price and output levels.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202109-202110180014-202110180014-445-485,49.3,2021,Academia Economic Papers
THE EFFECT OF PARENTS' GENDER PREFERENCE ON CHILDREN'S HIGH SCHOOL OUTCOMES AND CHOICE OF FIELD OF STUDY IN SENIOR AND VOCATIONAL HIGH SCHOOLS: EVIDENCE FROM TAIWAN YOUTH PROJECT,"Chia-Hua Liu, Ming-Ching Luoh","Gender bias, Preference for son, Preference for daughter, High school outcomes, Field of study","Using the data of the Taiwan Youth Project, the paper examines the effect of parents' gender preference on children's high school outcomes and choice of field of study in senior and vocational high schools. Based on the fertility stopping rule, the paper defines girls whose parents' preference is for a son and boys whose parents' preference is for a daughter. The results indicate that the parents' gender preference has no effect on high school outcomes of children, because the opportunity to enter high school is close to 100%. However, this gender preference significantly affects children's choice of field of study. For senior high school students, both the effect of girls' parental preference for a son and the effect of boys' parental preference for a daughter on the choice of ＂social science program＂ are positive. For vocational high school students, girls whose parents prefer a son are more likely to choose women-stereotyped fields of study, while boys whose parents prefer a daughter are less likely to choose women-stereotyped fields of study. These results suggest that when parents' gender preference for a son is reduced and their gender preference for children turns to gender equality, the degree of gender segregation in fields of study for senior and vocational high schools can be alleviated.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202106-202107130014-202107130014-163-200,49.2,2021,Academia Economic Papers
COLLEGE DUAL HALF DISMISSAL POLICY AND STUDENTS' AVOIDANCE BEHAVIOR,"Hung-Lin Tao, Dong-Yang Wu","Dismissal, Dual half dismissal policy, Credits, Withdrawal, Courses","This study investigates four issues of college dismissal policy. Who is more likely to be dismissed? Would a college dismissal policy enhance students' academic performance? What strategies are efficient for students to avoid dismissal? Could students that have failed half of the credits of a semester once change their course-taken behavior in the future? First of all, male students or those transferred from another school, students of resumption, and students with a student loan or with low General Scholastic Ability Test scores are more likely to be dismissed. Second, having failed half of the credits in a semester decreases a student's future failure rate. Third, distortion of study time among courses is positively correlated with avoiding failure of half the credits of courses in the future semester. Finally, after failure of half the credits of courses in a semester, students may take difficult to pass and not-easy-A courses; the amount of their course withdrawal declines, as well as the imbalance of time they spend on studying for each course. They may receive mercy from their course instructors; however, the possibility of them actually passing the course is low. In conclusion, their effort also contributes to bringing down their own failure rate.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202106-202107130014-202107130014-201-244,49.2,2021,Academia Economic Papers
RESOURCE MISALLOCATION UNDER TRADE RETALIATIONS: CASE OF CHINESE SOLAR ENERGY INDUSTRY,"Wen-Chieh Lee, Hao-Chung Li, Shinn-Shyr Wang","Antidumping duty, Countervailing duties, Resource misallocation, Total factor productivity","Solar energy has been the Chinese government's prime candidate to replace fossil fuels for electricity generation. To bolster the solar energy industry, the Chinese government set up a menu of incentive policies that led Chinese firms to expand production aggressively. Within several years, China swiftly dominated the global solar energy production market. However, Chinese firms' predatory pricing provoked retaliation from the U.S. and the EU with ＂anti-dumping＂ and ＂countervailing＂ investigations beginning in 2011. This paper constructed a firm-level panel dataset and measured the extent of resource misallocation prevalent in the Chinese solar industry between 2009 and 2014. Our results suggested that although substantial resource misallocation existed in 2009 and 2010, the Chinese solar industry's misallocation had improved afterward. This occurred mainly because of the improvement in output distortion patterns among Chinese firms. However, through our decomposition exercise, we found that capital distortions played a more critical role in explaining the Chinese solar industry's production loss. This suggested that to advance its solar energy industry further, focusing on curtailing capital distortions should be the Chinese government's priority.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202106-202107130014-202107130014-245-283,49.2,2021,Academia Economic Papers
THE LIFETIME EARNINGS ACROSS COHORTS IN TAIWAN,Pi-Fem Hsu,"Lifetime earnings, Cohort effect, Mixed model, Initial conditions","The study adopts the Panel Study of Family Dynamics database which comprises 20-year longitudinal surveys to examine cohort differences by estimating the heterogeneous lifetime earnings among individuals. The random effects of the mixed model are used to distinguish which portion of lifetime earnings was due to the remuneration of initial conditions and which part was due to age-earning profile. H H Empirical results show that the remuneration for initial conditions declined over cohorts. If men born in the 1981-1990 cohort possess high school, college, or university education, respectively, then their remuneration for initial conditions compared with men born before the 1960 cohort will be reduced by 34%, 32%, and 50%, respectively. In the past 20-year surveyed period, no evidence shows that an individual's cohort would cause earnings to grow heterogeneously. Regardless of any cohort, an individual's extra (or discounted) remuneration for initial conditions would affect the growth of lifetime earnings. Those with superior (or inferior) unobserved abilities would have higher (or lower) remuneration for initial conditions, which also increases (or reduces) the growth of lifetime earnings.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202106-202107130014-202107130014-285-319,49.2,2021,Academia Economic Papers
Does Taiwan Need a Macro-Prudential Policy? How to Do It? How to Coordinate with Monetary Policy?,Po-Yuan Wang,"Dynamic stochastic general equilibrium, DSGE-VAR, Monetary policy, Macro-prudential policy, Welfare analysis","This paper develops a small open economy dynamic stochastic general equilibrium (DSGE) model with collateral constraints. We estimate the model with data in Taiwan using the Bayesian technique, and assess the fit of the model by the DSGE-vector autoregression (DSGE-VAR) methodology. We demonstrate the welfare implications of the monetary policy and the macro-prudential policy. Our results suggest that an interest rate rule optimally responding to the growth of housing prices or domestic loans could enhance social welfare and make all agents better off. Introducing an optimal loan-to-value (LTV) ratio rule in response to domestic credit or housing price dynamics is also Pareto improving. Furthermore, the optimal deployment of both the monetary and macro-prudential policy could yield more social welfare. The coordination of policies effectively stabilizes the financial system and limits the volatility of inflation. However, because of the heterogeneity of agents, different mixes of policies require customized design for individual welfare optimization.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202103-202104130021-202104130021-1-40,49.1,2021,Academia Economic Papers
STRATEGIC INTERMEDIATE GOODS PRICING AND FOREIGN DIRECT INVESTMENT,"Chia-Chi Wang, Jiunn-Rong Chiou","Vertically related market, Foreign direct investment, Strategic pricing","This paper developed a vertically related market model containing an upstream supplier and numerous downstream firms in a host country. A multinational firm attempts to enter the host country's market. This study finds that even if the multinational firm has a lower production cost, once it enters the market via FDI, the optimal input price may decrease rather than increase. In addition, we find that FDI may benefit local downstream firms as opposed to harming them, even if the multinational firm is more efficient than local downstream firms. Lastly, an increase in the number of local downstream firms may not decrease the downstream firms' profits, may even increase.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202103-202104130021-202104130021-41-73,49.1,2021,Academia Economic Papers
HAS CREDIT RATING QUALITY IMPROVED IN CHINA?,Yu-Li Huang,"Rating standard, Rating quality, Default probability, Yield spread, Lead or lag indicator","Using corporate bonds, medium-term notes and enterprise bonds assigned ratings by Chinese local rating agencies during 2007 to 2018 as a sample, this paper investigates whether credit rating quality has improved in China. The results show that, first, the rating standard has tightened from 2008 to 2014, but loosened from 2015 to 2018. Second, the specific regime and environment in China affect credit rating determinants. Bonds with implicit or explicit guarantees are assigned better ratings. Firms with high audit quality are also assigned better ratings. Third, ratings can predict default probabilities and explain bond yield spreads. However, the information effect of ratings significantly decreases after 2014, suggesting the rating quality has worsened. Fourth, the rating quality does not improve for rating agencies cooperating with global rating agencies. Fifth, ratings are both lead and lag indicators in China.",https://www.airitilibrary.com/Publication/Index?DocID=1018161x-202103-202104130021-202104130021-75-120,49.1,2021,Academia Economic Papers
