title,author,keywords,abstract,url,vol,year,journal
The Commodification of TV Program Production Process in Taiwan,Shih-Chen Chang,"outsourcing, political economy, commodification, independent production house","The emergence of the TV industry in Taiwan is more than 40 years, but people here could hardly enjoy good TV programs. This article aims to explain Taiwan's TV production phenomena from the perspective of critical political economy of communication. This paper argues that none of the three major TV stations produced sufficient programs itself when they monopolized TV broadcasting in Taiwan. Instead, production tasks were outsourcing to many small independent production houses. And this is one of the reasons why the quality of Taiwan's TV programs was poor. After cable TV entered the market, there existed too many competing channels struggling for limited resources. In this period, advertisers unified and used TV ratings in media buying. This made many TV programs more like advertisements. In conclusion, the problems of Taiwan's TV industry were related to the historical context and certain structural factors that have to be placed in a wider capitalist system to understand its dynamics.",http://cjctaiwan.org/issueArticle.asp?P_No=18&CA_ID=146,7,2005,Chinese Journal of Communication Research
Media Discourse of Polling and Its Construction of Public Opinion: From a Perspective of Critical Linguistics,Yie-Jing Yang,"public opinion, polling, public, discourse analysis, opinion construction","Public opinion polling has become the best space for representing people's opinions. The media discourse of polling reports reflects questions regarding media representation and construction of reality. That is to say, how media (or politicians) use publicity and discourse to construct ""public"" opinion and ""reality"" is really worth discussing. Therefore, this paper adopts a critical linguistics approach to analyze the meaning of discourse in public opinion polling reports. The results of this paper conclude three types of polling discourse formats: 1. using majority/minority discourse to construct generalized or polarized opinions, 2. using hegemony and articulation discourse to construct ""main stream"" opinions, 3. using percentage and causality discourse to construct ""real"" and ""objective"" opinions.",http://cjctaiwan.org/issueArticle.asp?P_No=18&CA_ID=147,7,2005,Chinese Journal of Communication Research
Multicultural Public Service Broadcaster: An Australian Experience,Vivien Wang,"Australian multiculturalism, ethnic group, public service broadcaster, indigenous people","The creation of the Special Broadcasting Service (SBS) was closely related to Australia's population policy. Through its operation and practices, the SBS has been working to define, fertilise and enrich the notion of 'multiculturalism'. Initially, the SBS aimed to represent and voice the ethnic groups. Now, it has become the bridge to a wider, different world, which has not been well provided by other electronic media in Australia. All Australians can have access to the service of SBS. This paper looks at the development of SBS. It focuses on the SBS's innovative practice for niche establishment and for its becoming the strategic site of Australian independent filmmaking. This paper aims to show that the changing notion of 'multiculturalism' may create challenges for the broadcaster to fulfill its Charter responsibilities.",http://cjctaiwan.org/issueArticle.asp?P_No=18&CA_ID=145,7,2005,Chinese Journal of Communication Research
A Study of Product Information Suspiciously Embedded in Television Trendy Drama,"Chen-Hsing Hsu, Jhen-Yu Huang","product information, product placement, television trendy drama","Although ""product placement"" has been widely utilized by the marketing practitioners, only few researches in Taiwan studied the utilization of this marketing tool and its communication effects. Therefore, by analyzing the content of television trendy drama and in-depth interviewing the marketing and media practitioners, this study intends to investigate how ""product placement"" was used to promote the product. The results of this study indicate that the products placed in TV trendy drama were mostly fashion merchandizes for teenagers. These products were visually rather than audibly shown in TV trendy drama. Moreover, male teenagers who were the major actors in the trendy drama were frequently employed to convey product information.",http://cjctaiwan.org/issueArticle.asp?P_No=17&CA_ID=133,8,2005,Chinese Journal of Communication Research
An Exploratory Study on the Application of Product Placement in Tobacco Control,Yu-Li Wang,"idea marketing, product placement, tobacco control, health communication","One hot issue that has been intensively debated in Taiwan is the utilization of ""product placement"" in media contents. The advertising and marketing practitioners have employed ""product placement"" to promote products or merchandises. Product information has been embedded in media contents in order to increase brand awareness, influence the consumer's attitude positively toward the product, and stimulate the willingness for the consumer to purchase the products. While consuming media contents, the audience is also unconsciously exposed to commercial information. The objectives of this study were first to explore the utilization of product placement in promoting the concept of tobacco control. Secondly, to provide guidelines for better use of product placement in government tobacco control. To achieve these objectives, this study employed the qualitative analysis of the product placement cases in tobacco control, the methods of the focus group interview, and in-depth interviews.",http://cjctaiwan.org/issueArticle.asp?P_No=17&CA_ID=134,8,2005,Chinese Journal of Communication Research
"Crisis of the Utilization of ""Product Placement"" in News: The Exploration of the Public Interest of News Media in Taiwan",Huei-Ling Liu,"product placement, public interest, publicness, ethic of journalism","When Taiwanese government introduced ""product placement"", to promote their policies in news reporting since 2002, it became a highly debatable issue. This article explores the concept of the ""public interest"" by first referring to the conflict of public interest and product placement. Amid the complex environment of conflicting interests, this article attempts to propose a framework for the public and the media to participate in creating the public interest. Meanwhile, this article stresses two points: (1) ""Public interest"" should be based on public, rational and plural communication, any attempt to ""place"" private interest in news will violate the value of public interest. (2) News reporting for ""public interest"" should be based on professional values: independency, autonomy and responsibility. The placed news functions to manipulate journalist profession. Without being able to do independent and autonomous news reports, how can we expect the news to fulfill public interests? Any media organizations that accept ""product placement"" would gain profit but lose credibility in return.",http://cjctaiwan.org/issueArticle.asp?P_No=17&CA_ID=136,8,2005,Chinese Journal of Communication Research
Exploring Advertorials in Television News: Product Placement vs. Professionalism of News Reporting,Ping-Hung Chen,"advertising influence on news content, advertorial, news professionalism, product placement, television news","In recent years, external economic influences from advertising agencies, rather than political influences from government or political parties, on media content have produced greater effects than before. Thus, adding alternative perspectives to the study on influences on news content, this research focuses on economic power in general and advertising in particular, instead of political power, on media like before. This study employs two research methods, questionnaire survey and focus group discussion, to collect required data for analysis. Questionnaire survey of journalists of television stations is conducted to discover current reality of advertising influences on news content production. Meanwhile, focus group discussion is organized to explore negative influences of advertorials on professionalism and autonomy of media, and if possible, to propose suggestions of regulations. Overall, this study concludes that advertorials appeared in television news are getting popular and acceptable in Taiwan among television news reporters. Even though advertorials are against professionalism of news reporting, more than half of television reporters surveyed are voluntarily willing to produce advertorials under major consideration of financial pressure on their media.",http://cjctaiwan.org/issueArticle.asp?P_No=17&CA_ID=137,8,2005,Chinese Journal of Communication Research
"Revisiting the Concept of ""News"": The Modernity and Postmodernity of Linguistic Studies in Taiwan's Journalism History",Hsiao-Yung Wang,"critically oriented linguistics, postmodernity, modernity, structuralist linguistics, journalism history","This paper aims to explore the meaning of linguistic studies in Taiwan's Journalism history by revisiting the concept of ""news"". Starting with a critique of Lin's conceptual framework and attribution, this paper highlights the oversight of complexity of linguistic studies. Drawing on modernity and postmodernity, two types of linguistic studies are specified: structuralism-oriented approach vs. critically oriented approach (post structural and systemic-functional). The former can be attributed to modernism, the latter unfolds postmodernity in respect of the philosophy of subjectivity, epistemology and the nature of knowledge. In addition, this paper addresses that linguistic studies not only challenge the assumptions of positivism but inherit the emancipatory interest of critical theory and inspire the postmodern thinking to treat news as ""discourse"".",http://cjctaiwan.org/issueArticle.asp?P_No=17&CA_ID=138,8,2005,Chinese Journal of Communication Research
Capital Formation in Taiwan's Television under the Authoritarian Rule,Lih-Yun Lin,"authoritarian rule, television history, capital formation","Of the central concern of this paper is the capital formation in Taiwan's television in the 1960s. It asks: how were the opposite elements of the capital contradicted, negotiated and finally united? This paper answers the problem by looking into the logic of the state under the authoritarian rule. According to the analysis, the party-state mainly conceived television as a governmental propaganda tool, not as a cultural and educational institution, thus declining to invest, and allowing state bureaucrats and private capitals to make extortionate profits. But developed in different contexts, the capital formation of the three stations had slight differences. The official and private shareholders had contradictions and even conflicts, but driven by common interests, they became united. Based on the analysis, this paper suggests that as the private shareholders have long garnered interests, their shares be returned to the public at low cost.",http://cjctaiwan.org/issueArticle.asp?P_No=16&CA_ID=123,9,2006,Chinese Journal of Communication Research
Does Internet Emancipate Females? Some Reflections on the Experiences of Online Game,"Yu-Pei Chang, Yuh-Wei Leu","cyberfeminist, internet culture, online game","""Does internet emancipate women?"" The answer for cyberfeminists is ""yes"" but we have a doubt on it. Through interviewing 14 experienced players, this study attempts to illustrate that the online game, being an important and popular area of cyberspace, could not liberate the female. The results of the study indicate that the communicative characters of online game, including the entertaining tendency, male-center and re-embodiment, would not help females conquer the existing dualistic gender identity model. On the opposite, the extreme of patriarchal distortion on gender formulation in online interaction is reinforced.",http://cjctaiwan.org/issueArticle.asp?P_No=16&CA_ID=124,9,2006,Chinese Journal of Communication Research
"English-Mandarin Code Mixing in Taiwan's Media: A Study on the Headlines of the United Daily, 1951-2004",Jing-Huey Hwang,"headline, sociolinguistics, code mixing, cultural hegemony","This paper aims to explore English words and phrases, as well as Mandarin expressions borrowed from English pronunciations, which are mixed in Mandarin newspapers, using the headlines of the United Daily from 1951 to 2004 as examples. The paper begins with a review of literature, and the review raises several issues for further research in this area. Responding to the issues, the analysis of headlines collected and the calculations of recurrences show that: (1) Mandarin expressions borrowed from English pronunciations are more than English words and phrases, (2) there has been an increase of code mixings in the corpus since the 1990's, (3) noun phrases are the major syntactic category where code-mixing takes place, and they have been noticeably amplifying since the 1990's. Finally, issues for further research are put forward.",http://cjctaiwan.org/issueArticle.asp?P_No=16&CA_ID=125,9,2006,Chinese Journal of Communication Research
The Study of Value-Added Services in Interactive TV Baseball Program,Tzu-Yuan Peng,"interactive television, value-added service, usability test","This research aims to explore the intention of analog TV users, who have been used to passive watching on TV programs, in using value-added service of interactive television (iTV). Level of interactivity and mode of interactivity are analyzed to find out different ways of influencing viewer's intention. In order to understand the influence of using intention, method of usability test is employed. At first, sixteen participants used the specially designed iTV interface of baseball program to respond to researcher's 31 questions. Then, six out of fourteen participants were further interviewed for understanding their opinions about iTV's value-added service. The result shows that the level and mode of interactivity and program types may influence the intention of using value-added service when they watch iTV. Individual needs, however, are the critical factor in using iTV service.",http://cjctaiwan.org/issueArticle.asp?P_No=16&CA_ID=126,9,2006,Chinese Journal of Communication Research
An Analysis of News Coverage of Antismoking Related News in Taiwan,"Ding-Yu Chan, Chang-Yung Kung, Hai-Tao Chin)","antismoking related news, content analysis","This study aims to investigate how antismoking and the related issues are presented in the news during the past decade. A content analysis of the 1325 articles related to tobacco related issues, appearing in three newspapers with large circulations in Taiwan, was conducted. Results of the study showed that: (1) the peak appeared when comprehensive antismoking legislation enacted in Taiwan in 1997, (2) Most antismoking related issues coverage were news oriented, (3) The most frequent themes were tobacco legislation and antismoking campaign activities, (4) Most are found in hard news page and presented by pure news style, (5) News sources of the storied centered around government officials, medical experts and scholars, (6) Events that were covered antismoking related issues were as neutral 31.2%), as positive (29.9%) and as negative (27.1%).",http://cjctaiwan.org/issueArticle.asp?P_No=16&CA_ID=127,9,2006,Chinese Journal of Communication Research
Narrative Rejuvenating on Human and Social Science Writing,Shao-Chia Hu,"narrating subject, time of narration, social science writing, paradigmatic style","In the past, literature and science were usually divided to two separate domains. Literature was the repository of rhetoric, subjectivity, and fiction, whereas science was the repository of ""plain"" language, objectivity, and fact. The ""modernist"" vision of science writing, which was treated as a transparent, clear pane of glass, simply reflecting the objective ""reality"", has dominated social scientific thinking. Until recently, this view has been seriously challenged. The purpose of this article is to respond to such a challenge. By introducing the concepts of narrating subject and time of narration from narratology, this article tries to answer the following question: how should we write a social scientific paper? At the end of this article, the author delineates how we expect about writing would affect what we write about.",http://cjctaiwan.org/issueArticle.asp?P_No=16&CA_ID=128,9,2006,Chinese Journal of Communication Research
Toward a Public Broadcasting Group: Legislative Suggestions for Hakka and Indigenous TV in the Digital Age,"Yann-Long Chen, Yu-Li Liu","Taiwan Broadcasting System, Hakka TV, Indigenous TV, DTV","Hakka TV and Indigenous TV were established in 2003 and 2005 respectively and are sponsored by The Council for Hakka Affairs and The Council of Indigenous Peoples. Originally, both government councils outsourced TV stations to produce programs for the two ethnic TV channels, and, each channel was managed jointly by the relevant council and outsourced TV stations. However, this kind of government interference was against the principle of political parties, the government and the military withdrawing their shares from the electronic media. Methods employed by this paper include literature review, in-depth interview, and primary document analysis. It concludes that Hakka TV and Indigenous TV should be included in Taiwan Broadcasting System (TBS) and managed by the Taiwan Public Television Service Foundation on the condition that TBS ensure that these two ethnic TV channels maintain their ethnic autonomy.",http://cjctaiwan.org/issueArticle.asp?P_No=15&CA_ID=114,10,2006,Chinese Journal of Communication Research
Public Service Broadcasting and Creative Industry: The Case of New Zealand,"Lih-Yun Lin, Ching-Ting Wang","public-service broadcasting, cultural and creative industry, media reform, New Zealand","While some countries are developing creative industries, their public service broadcasters shoulder the responsibility of boosting audio-visual industries. New Zealand has transformed her state television enterprise into a pubic-service one. This paper mainly asks: to what extent has the transformation of TVNZ contributed to the promotion of her audio-visual industry? According to the analysis, among the three policy options, New Zealand only adopted a reform on a minimal scale, thus TVNZ, trapped in the contradictions of public service and business performance, can not fully support the industry. Based on the above analysis, we suggest that future media reform should cover the governance of private media and the financial structures of public service television, in order to develop a sustainable audio-visual industry.",http://cjctaiwan.org/issueArticle.asp?P_No=15&CA_ID=115,10,2006,Chinese Journal of Communication Research
Networks and News: Reexamination on Ties between Reporters and Sources from the Perspective of Social Capital and Agency Theory,"Yu-Chieh Lo, Chin-Hwa Chang","reporter, journalist, news source, social network, social capital, intra-organizational conflict","This paper employs social network, social capital and intra-organizational conflict perspectives to examine an important topic in mass communication field: the relationship between journalists and their news sources. The major findings are: (1) In a hierarchical organization, middle-level employees or managers, rather than top executives or official speak persons, are most likely to be journalists' main sources. (2) Strong ties between reporters and sources can facilitate the information flow and help the former get inside news. (3) Reporters themselves can be ""bridges"", providing valuable information for their sources and hence enhancing their status. (4) Personal ties between reporters and their sources do not necessarily do harm to journalists' professional ethics, on the contrary, these linkages may be critical to freedom of press. Theoretical and practical implications are also discussed.",http://cjctaiwan.org/issueArticle.asp?P_No=15&CA_ID=116,10,2006,Chinese Journal of Communication Research
Craftsmanship at the Digital Age: An Analytical Framework,"Wei-Wen Chung, Pai-Lin Chen, Shun-Hsiao Chen)","craftsmanship, digital, materiality, affordance, activity, embodied interaction, tool","This paper proposes a framework in which to examine craftsmanship in the digital age. Past research tends to be plagued by an undue emphasis on Cartesian dichotomies such the division between mind and object, society and individual and is thus unable to offer feasible solutions to practical problems. To remedy this problem, this paper, drawing on our past research on expertise and relevant bodies of literature, contends that we need to make several epistemological turns before we plunge into empirical research. This paper is divided into two parts. The first part will elaborate on the three turns we have made in the investigation of digital craftsmanship. To be brief, we argue that the study of digital craftsmanship should turn to interaction with tool, embodied interaction and activity. Following on these turns, we proceed to characterize digital craftsmanship along three dimensions: materiality, affordance, craftsmanship.",http://cjctaiwan.org/issueArticle.asp?P_No=15&CA_ID=117,10,2006,Chinese Journal of Communication Research
The Study on Work Flows and Specifications of Digital Archives,"Shun-Tzu Tsai, Yu-Wu Lin","digital archives, metadata, operation standards, Unified Modeling Language, work flows","Many countries have applied new digital technology to preserve precious culture or historical relics. However, most institutions still use their own work flows for digital archives implementation. This paper analyzes and compares several international organizations of active digital archives projects with the technology, specifications and metadata including OAIS (Open Archival Information System) and NISO (National Information Standards Organization) reference models. We propose an executive approach for digital archives construction principles that contain the practical work flows, operation methods, and specifications. Moreover, we create the use of UML (Unified Modeling Language) for easy understanding of analysis and implementation on digital archives domains. In addition, this paper illustrates and evaluates the practicability according to the experience of the Hwa-Kang Museum.",http://cjctaiwan.org/issueArticle.asp?P_No=15&CA_ID=118,10,2006,Chinese Journal of Communication Research
Rethinking Media Education Curriculum: A Reflection on Digitalization,Chiung-Wen (Julia) Hsu,"media education, digitalization, media convergence, digital media, campus media, action research","The trend of media convergence has prompted us to revisit those fundamental questions of journalism and mass communication education, namely, how to teach, what to teach, who to teach and why. The author, using action research methodology, participated in a campus media curriculum design for digitalization, executed it for two years and evaluated the curriculum. By analyzing and comparing the students' weekly reports and the curriculum commit-tee's meeting records, this study re-affirms the necessity to maintain the cores of traditional curriculum characterized by its emphasis on news gathering skills and specialization. However, the study also leads us to rethink the ethical and legal problems brought forth by digital media. More importantly, with a view to benefiting from new communication technology, it is necessary to change the mind-set toward technology, which is more than mere skills.",http://cjctaiwan.org/issueArticle.asp?P_No=14&CA_ID=101,11,2007,Chinese Journal of Communication Research
Effects of Metaphor on Science Text Comprehension,"Kang-Pei Chen, Christine P. Chang, Ruey-Yun Horng","text comprehension, science reporting, metaphor, proposition analysis","The purpose of this research was to examine whether or not applying metaphor in science news might increase text comprehension. Thirty-three high school students participated in the experiment. Each student was asked to read four science news, two with metaphor and two without metaphor. The metaphor sentence was embedded at the very beginning of the text. Participants were asked to write down their free recalls of the article immediately after reading the four stories. The number of macro-propositions recalled and the accuracy of the situation model of the science text were used as the measures of text comprehension. The results support our hypotheses that: (1) applying metaphor enhances the comprehension of gist in a science report, and (2) applying metaphor in science reporting may help readers construct a more correct situation model of the scientific findings.",http://cjctaiwan.org/issueArticle.asp?P_No=14&CA_ID=105,11,2007,Chinese Journal of Communication Research
"The Political Economy of Media Ethics: State, Capital, and the Formation of Journalistic Norms",Chang-De Liu,"journalistic norms, codes of ethics, political economy, journalism history","Rather than merely a reflection of ethics, the journalistic norm is an out-come of social construction. American journalism has been spread worldwide, and its core concepts--such as ""objectivity,"" ""social responsibility,"" and so forth--result from the actions of agents in the journalistic field that respond to the political and economic needs. In Taiwan, this set of journalistic norms has been translated and re-defined in accordance with the change of political and economic structures. This paper aims to analyze the development of Taiwanese journalistic norms throughout the three periods since the end of the World War Ⅱ, including (1) The formation of ""client media's responsibility theory"" between the 1950s and 1970s, (2) The emergence of ""political dissidents' media ethics"" which challenged the former in the 1980s, and (3) The rise and suppression of the ""autonomous journalistic norms movement"" from the mid 1990s to the present.",http://cjctaiwan.org/issueArticle.asp?P_No=14&CA_ID=106,11,2007,Chinese Journal of Communication Research
The Discourse of Information Literacy: An Application of Biographical Method,Yu-Lin Chang,"information literacy, computer literacy, biographical method, narrative interview","This paper examines how a person becomes information literate, as revealed by their discourses. Drawing on the perspective of discourse analysis and social practices theory, this paper divides the developmental process into the following stages: initial discourses, secondary discourses and meta-Discourses. This paper finds that literacy in information is characterized by the following, namely, perception of the mediational property of technology, mental map of computer use, reinterpretation of the used computer, and finally a pleasure-seeking approach to computer use.",http://cjctaiwan.org/issueArticle.asp?P_No=14&CA_ID=107,11,2007,Chinese Journal of Communication Research
The Impact of Concealment on Organization-Public Relationships form the Perspective of Customers: The Case of Convenience Store,Cheng-Tao Liu,"public relations, concealment, organization-public relationships, public relations ethics","This study examines the impact of concealment on organization-public relationships as seen from the perspective of customers. This study, based on the survey of a convenience store's customers suggested that if concealment on the part of PR professionals is motivated by a concern for the interests of employees and employer, customers may be less likely to condemn concealment. The determinants of acceptance are, in ascending order of importance, are concern for the interests of employees, employer, and self. The study also found that commitment varies with concern for employees, employer and self. Mutual control and trust, however, are correlated with concern for the interest of other employees.",http://cjctaiwan.org/issueArticle.asp?P_No=14&CA_ID=108,11,2007,Chinese Journal of Communication Research
"The Thoughts and Operation of Market-driven Journalism: A Case Study of ""Apple Daily""",Hsu-Chu Ho,"the Apple Daily, market-driven journalism, norm of journalism, norm of business","This research will discuss the market-driven thoughts underlying the operations of Apple Daily, namely, the readers are consumers, and news is a commodity. The operation of this daily will be analyzed along the three following dimensions: the primary operation rules, the market mechanism, and the process of news production. The research methods employed are participant observation, documentary method, and in-depth interview. It is found that the traditional norms of journalism have been upheld in the Apple Daily, which serves to maintain the quality of news production. In other words, the norms of journalism in a sense are second to the interests of business in this newspaper.",http://cjctaiwan.org/issueArticle.asp?P_No=14&CA_ID=109,11,2007,Chinese Journal of Communication Research
On Understanding and Misunderstanding of Third-Person Effect,Dennis Weng-Jeng Peng,"first-person effect, second-person effect, third-person effect, third-person perception","Arguments of the third-person effect only provide partial and contingent explanations. Efforts seeking theories which can systematically explain the third-person effect across cognitional and behavioral levels are needed. Methodologically, any conclusions about whether ""order effect"" interferes with the third-person effect call for further examination. For example, predicting support for censorship by perceptual differences has its limitations. ""Impact on self"", ""impact on others"", or ""impact differences between self and others"", which could possibly result in censorship, needs to be clearly differentiated. Research on the third-person effect needs to differentiate between the following effects: micro vs. macro, alteration vs. stabilization, cumulative vs. non-cumulative, long term vs. short term, and qualitative vs. quantitative.",http://cjctaiwan.org/issueArticle.asp?P_No=13&CA_ID=94,12,2007,Chinese Journal of Communication Research
The Role of Online News Media: From Content Provider to Advocate of Public Debates,Ying-Ting Shih,"democracy, internet, media, news, public sphere","Ideally news media should play the role of ""watchdog"" but in reality news media seldom perform their duties faithfully. This paper tries to explain the gap between ideals and reality of news media's role in a democratic society. The author finds that almost all news media try to be independent and objective as possible as they can, hoping that in doing so they can make more money. As a matter of fact, what people need in a democratic society is not detached news media but civic engagement. This paper suggests that new technologies provide opportunities for the news media to re-define their role in accordance with needs which may arise in a democratic society. For example, news media should change their role from content provider to facilitator of public debates. If they do so, they will not only secure people’s trust but can also survive the challenge of the digital age.",http://cjctaiwan.org/issueArticle.asp?P_No=13&CA_ID=95,12,2007,Chinese Journal of Communication Research
Oral People in the Literate Age: An Exploratory Research,Tsui-Sung Wu,"cultural tool-kit, oral expression, illiteracy, media culture, formulas","This study, drawing upon the research of Ong and Swidler on orality and cultural tool-kits, aims to examine the oral behavior of illiterate people. Based on the study of the oral expressions of the informants, we find that illiterate people who grew up in an oral culture can use both the tool-kits of oral and literate cultures to express themselves, however, they do exhibit more expertise when it comes to oral tool-kit.",http://cjctaiwan.org/issueArticle.asp?P_No=13&CA_ID=96,12,2007,Chinese Journal of Communication Research
